team,stadium_id,wall_svg_d,field_svg_d,lf_x,lf_y,rf_x,rf_y,wall_json,venue,city,state
Arizona Diamondbacks,diamondbacks,M 54.2 262.4 L 56.6 249.5 L 57.5 236.3 L 58.5 223.3 L 62.2 211.2 L 74.4 208.1 L 84.2 199.4 L 94.1 190.8 L 103.9 182.1 L 113.7 173.3 L 123.3 164.3 L 133.1 155.6 L 142.9 146.9 L 152.7 138.1 L 162.5 129.3 L 172.3 120.6 L 182.1 111.9 L 192.6 104.5 L 205.6 103.9 L 218.8 103.9 L 231.9 103.9 L 240.9 96.4 L 252.9 94.6 L 266.1 94.6 L 279.2 94.6 L 292.4 94.6 L 305.5 94.6 L 313.5 103.6 L 326.6 104 L 339.7 104 L 352.9 104 L 364.5 108.6 L 374.3 117.4 L 384.1 126.1 L 394 134.7 L 403.7 143.6 L 413.6 152.2 L 423.4 160.9 L 433.2 169.7 L 443 178.4 L 452.8 187.1 L 462.7 195.8 L 472.6 204.4 L 483.2 211.9 L 494.1 216 L 495.6 229 L 496.2 242.1 L 495.6 255 L 489.6 266.4 L 480.4 275.8 L 471.2 285.1,M 275 460 L 54.2 262.4 L 56.6 249.5 L 57.5 236.3 L 58.5 223.3 L 62.2 211.2 L 74.4 208.1 L 84.2 199.4 L 94.1 190.8 L 103.9 182.1 L 113.7 173.3 L 123.3 164.3 L 133.1 155.6 L 142.9 146.9 L 152.7 138.1 L 162.5 129.3 L 172.3 120.6 L 182.1 111.9 L 192.6 104.5 L 205.6 103.9 L 218.8 103.9 L 231.9 103.9 L 240.9 96.4 L 252.9 94.6 L 266.1 94.6 L 279.2 94.6 L 292.4 94.6 L 305.5 94.6 L 313.5 103.6 L 326.6 104 L 339.7 104 L 352.9 104 L 364.5 108.6 L 374.3 117.4 L 384.1 126.1 L 394 134.7 L 403.7 143.6 L 413.6 152.2 L 423.4 160.9 L 433.2 169.7 L 443 178.4 L 452.8 187.1 L 462.7 195.8 L 472.6 204.4 L 483.2 211.9 L 494.1 216 L 495.6 229 L 496.2 242.1 L 495.6 255 L 489.6 266.4 L 480.4 275.8 L 471.2 285.1 Z,54.2,262.4,471.2,285.1,"[{""angle"":-48.16,""dist"":329.2,""x_ft"":-245.3,""y_ft"":219.6},{""angle"":-46.06,""dist"":337.1,""x_ft"":-242.7,""y_ft"":233.9},{""angle"":-44.21,""dist"":346.7,""x_ft"":-241.7,""y_ft"":248.5},{""angle"":-42.45,""dist"":356.5,""x_ft"":-240.6,""y_ft"":263},{""angle"":-40.54,""dist"":363.8,""x_ft"":-236.5,""y_ft"":276.5},{""angle"":-38.53,""dist"":357.8,""x_ft"":-222.9,""y_ft"":279.9},{""angle"":-36.22,""dist"":358.8,""x_ft"":-212,""y_ft"":289.5},{""angle"":-33.9,""dist"":360.4,""x_ft"":-201,""y_ft"":299.1},{""angle"":-31.62,""dist"":362.6,""x_ft"":-190.1,""y_ft"":308.8},{""angle"":-29.36,""dist"":365.5,""x_ft"":-179.2,""y_ft"":318.5},{""angle"":-27.15,""dist"":369.2,""x_ft"":-168.5,""y_ft"":328.5},{""angle"":-25,""dist"":373.2,""x_ft"":-157.7,""y_ft"":338.2},{""angle"":-22.88,""dist"":377.6,""x_ft"":-146.8,""y_ft"":347.9},{""angle"":-20.8,""dist"":382.6,""x_ft"":-135.9,""y_ft"":357.7},{""angle"":-18.79,""dist"":388.1,""x_ft"":-125,""y_ft"":367.4},{""angle"":-16.83,""dist"":394,""x_ft"":-114.1,""y_ft"":377.1},{""angle"":-14.94,""dist"":400.3,""x_ft"":-103.2,""y_ft"":386.8},{""angle"":-13.06,""dist"":405.5,""x_ft"":-91.6,""y_ft"":395},{""angle"":-11.03,""dist"":403.1,""x_ft"":-77.1,""y_ft"":395.7},{""angle"":-8.98,""dist"":400.6,""x_ft"":-62.5,""y_ft"":395.7},{""angle"":-6.9,""dist"":398.6,""x_ft"":-47.9,""y_ft"":395.7},{""angle"":-5.36,""dist"":405.8,""x_ft"":-37.9,""y_ft"":404},{""angle"":-3.45,""dist"":406.7,""x_ft"":-24.5,""y_ft"":406},{""angle"":-1.4,""dist"":406.1,""x_ft"":-9.9,""y_ft"":406},{""angle"":0.66,""dist"":406,""x_ft"":4.7,""y_ft"":406},{""angle"":2.72,""dist"":406.5,""x_ft"":19.3,""y_ft"":406},{""angle"":4.77,""dist"":407.4,""x_ft"":33.9,""y_ft"":406},{""angle"":6.17,""dist"":398.3,""x_ft"":42.8,""y_ft"":396},{""angle"":8.24,""dist"":399.7,""x_ft"":57.3,""y_ft"":395.6},{""angle"":10.3,""dist"":402.1,""x_ft"":71.9,""y_ft"":395.6},{""angle"":12.33,""dist"":404.9,""x_ft"":86.5,""y_ft"":395.6},{""angle"":14.28,""dist"":402.9,""x_ft"":99.4,""y_ft"":390.4},{""angle"":16.16,""dist"":396.4,""x_ft"":110.3,""y_ft"":380.7},{""angle"":18.09,""dist"":390.3,""x_ft"":121.2,""y_ft"":371},{""angle"":20.09,""dist"":384.8,""x_ft"":132.2,""y_ft"":361.4},{""angle"":22.13,""dist"":379.6,""x_ft"":143,""y_ft"":351.6},{""angle"":24.24,""dist"":375.1,""x_ft"":154,""y_ft"":342},{""angle"":26.39,""dist"":371,""x_ft"":164.9,""y_ft"":332.3},{""angle"":28.59,""dist"":367.4,""x_ft"":175.8,""y_ft"":322.6},{""angle"":30.82,""dist"":364.4,""x_ft"":186.7,""y_ft"":312.9},{""angle"":33.09,""dist"":361.9,""x_ft"":197.6,""y_ft"":303.2},{""angle"":35.39,""dist"":360.2,""x_ft"":208.6,""y_ft"":293.6},{""angle"":37.71,""dist"":359,""x_ft"":219.6,""y_ft"":284},{""angle"":40,""dist"":359.9,""x_ft"":231.3,""y_ft"":275.7},{""angle"":41.92,""dist"":364.3,""x_ft"":243.4,""y_ft"":271.1},{""angle"":43.68,""dist"":354.9,""x_ft"":245.1,""y_ft"":256.7},{""angle"":45.43,""dist"":345,""x_ft"":245.8,""y_ft"":242.1},{""angle"":47.1,""dist"":334.6,""x_ft"":245.1,""y_ft"":227.8},{""angle"":47.95,""dist"":321.2,""x_ft"":238.5,""y_ft"":215.1},{""angle"":48.11,""dist"":306.6,""x_ft"":228.2,""y_ft"":204.7},{""angle"":48.29,""dist"":292,""x_ft"":218,""y_ft"":194.3}]",Chase Field,Phoenix,AZ
Athletics,athletics,M 60.6 278.8 L 52.2 268.1 L 56.3 255.8 L 61.7 243.3 L 67.3 230.9 L 72.9 218.3 L 78.4 205.9 L 84 193.6 L 90 181.5 L 102.2 175.4 L 114.7 170 L 127.2 164.7 L 139.8 159.5 L 151.7 153 L 163.1 145.4 L 174.4 137.9 L 185.7 130.3 L 197.1 122.7 L 208.8 115.9 L 220.8 109.5 L 233.2 103.7 L 245.6 98.4 L 259.2 98 L 272.8 97.9 L 286.4 97.8 L 300 97.8 L 312.9 101.8 L 325.2 107.6 L 337.6 113.3 L 349.5 119.8 L 360.7 127.7 L 371.8 135.6 L 382.7 143.6 L 393.7 151.7 L 405 159.4 L 417.3 165.1 L 429.8 170.4 L 442.4 175.7 L 454.9 180.9 L 464.6 189.3 L 470.2 201.7 L 475.8 214.1 L 481.3 226.6 L 486.9 239 L 492.4 251.5 L 497.4 264.2,M 275 460 L 60.6 278.8 L 52.2 268.1 L 56.3 255.8 L 61.7 243.3 L 67.3 230.9 L 72.9 218.3 L 78.4 205.9 L 84 193.6 L 90 181.5 L 102.2 175.4 L 114.7 170 L 127.2 164.7 L 139.8 159.5 L 151.7 153 L 163.1 145.4 L 174.4 137.9 L 185.7 130.3 L 197.1 122.7 L 208.8 115.9 L 220.8 109.5 L 233.2 103.7 L 245.6 98.4 L 259.2 98 L 272.8 97.9 L 286.4 97.8 L 300 97.8 L 312.9 101.8 L 325.2 107.6 L 337.6 113.3 L 349.5 119.8 L 360.7 127.7 L 371.8 135.6 L 382.7 143.6 L 393.7 151.7 L 405 159.4 L 417.3 165.1 L 429.8 170.4 L 442.4 175.7 L 454.9 180.9 L 464.6 189.3 L 470.2 201.7 L 475.8 214.1 L 481.3 226.6 L 486.9 239 L 492.4 251.5 L 497.4 264.2 Z,60.6,278.8,497.4,264.2,"[{""angle"":-49.8,""dist"":311.9,""x_ft"":-238.2,""y_ft"":201.3},{""angle"":-49.26,""dist"":326.7,""x_ft"":-247.5,""y_ft"":213.2},{""angle"":-46.96,""dist"":332.5,""x_ft"":-243,""y_ft"":226.9},{""angle"":-44.54,""dist"":337.9,""x_ft"":-237,""y_ft"":240.8},{""angle"":-42.19,""dist"":343.6,""x_ft"":-230.8,""y_ft"":254.6},{""angle"":-39.91,""dist"":350.1,""x_ft"":-224.6,""y_ft"":268.5},{""angle"":-37.73,""dist"":356.9,""x_ft"":-218.4,""y_ft"":282.3},{""angle"":-35.64,""dist"":364.2,""x_ft"":-212.2,""y_ft"":296},{""angle"":-33.59,""dist"":371.4,""x_ft"":-205.5,""y_ft"":309.4},{""angle"":-31.27,""dist"":369.9,""x_ft"":-192,""y_ft"":316.2},{""angle"":-28.93,""dist"":368.1,""x_ft"":-178.1,""y_ft"":322.2},{""angle"":-26.59,""dist"":366.9,""x_ft"":-164.2,""y_ft"":328.1},{""angle"":-24.22,""dist"":366.1,""x_ft"":-150.2,""y_ft"":333.9},{""angle"":-21.88,""dist"":367.6,""x_ft"":-137,""y_ft"":341.1},{""angle"":-19.58,""dist"":370.9,""x_ft"":-124.3,""y_ft"":349.5},{""angle"":-17.35,""dist"":375,""x_ft"":-111.8,""y_ft"":357.9},{""angle"":-15.15,""dist"":379.5,""x_ft"":-99.2,""y_ft"":366.3},{""angle"":-13.01,""dist"":384.7,""x_ft"":-86.6,""y_ft"":374.8},{""angle"":-10.9,""dist"":389.3,""x_ft"":-73.6,""y_ft"":382.3},{""angle"":-8.79,""dist"":394,""x_ft"":-60.2,""y_ft"":389.4},{""angle"":-6.7,""dist"":398.6,""x_ft"":-46.5,""y_ft"":395.9},{""angle"":-4.65,""dist"":403.1,""x_ft"":-32.7,""y_ft"":401.8},{""angle"":-2.51,""dist"":402.6,""x_ft"":-17.6,""y_ft"":402.2},{""angle"":-0.36,""dist"":402.3,""x_ft"":-2.5,""y_ft"":402.3},{""angle"":1.81,""dist"":402.6,""x_ft"":12.7,""y_ft"":402.4},{""angle"":3.95,""dist"":403.4,""x_ft"":27.8,""y_ft"":402.4},{""angle"":6.04,""dist"":400.2,""x_ft"":42.1,""y_ft"":398},{""angle"":8.11,""dist"":395.6,""x_ft"":55.8,""y_ft"":391.6},{""angle"":10.23,""dist"":391.4,""x_ft"":69.5,""y_ft"":385.2},{""angle"":12.36,""dist"":387,""x_ft"":82.8,""y_ft"":378},{""angle"":14.46,""dist"":381.3,""x_ft"":95.2,""y_ft"":369.2},{""angle"":16.61,""dist"":376.1,""x_ft"":107.5,""y_ft"":360.4},{""angle"":18.8,""dist"":371.4,""x_ft"":119.7,""y_ft"":351.6},{""angle"":21.06,""dist"":367.1,""x_ft"":131.9,""y_ft"":342.6},{""angle"":23.38,""dist"":363.9,""x_ft"":144.4,""y_ft"":334},{""angle"":25.76,""dist"":363.8,""x_ft"":158.1,""y_ft"":327.7},{""angle"":28.12,""dist"":364.9,""x_ft"":172,""y_ft"":321.8},{""angle"":30.49,""dist"":366.6,""x_ft"":186,""y_ft"":315.9},{""angle"":32.81,""dist"":368.9,""x_ft"":199.9,""y_ft"":310.1},{""angle"":35.01,""dist"":367.3,""x_ft"":210.7,""y_ft"":300.8},{""angle"":37.08,""dist"":359.7,""x_ft"":216.9,""y_ft"":287},{""angle"":39.24,""dist"":352.7,""x_ft"":223.1,""y_ft"":273.2},{""angle"":41.47,""dist"":346.1,""x_ft"":229.2,""y_ft"":259.3},{""angle"":43.8,""dist"":340.1,""x_ft"":235.4,""y_ft"":245.5},{""angle"":46.19,""dist"":334.7,""x_ft"":241.5,""y_ft"":231.7},{""angle"":48.63,""dist"":329.3,""x_ft"":247.1,""y_ft"":217.6}]",Sutter Health Park,Sacramento,CA
Atlanta Braves,braves,M 87.8 286.4 L 78.9 277 L 70 267.7 L 61.1 258.3 L 54.8 248.1 L 60.3 236.4 L 66.1 224.8 L 71.7 213.2 L 77.3 201.5 L 82.8 189.9 L 88.5 178.2 L 96.5 168.4 L 107.1 160.8 L 117.6 153.4 L 128.2 146 L 138.7 138.5 L 150.3 132.9 L 162.4 128.3 L 174.5 123.5 L 186.4 118.8 L 198.3 113.7 L 210.4 108.8 L 222.3 104.1 L 234.3 99.2 L 246.8 96.6 L 259.8 96.4 L 272.8 96.4 L 285.6 96.4 L 298.6 96.4 L 311.5 96.8 L 323.4 101.4 L 334.9 107.4 L 346.4 113.2 L 357.8 119.3 L 369.3 125.2 L 380.8 131.1 L 392.4 137 L 403.8 142.9 L 413.4 151.3 L 421.2 161.6 L 428.9 172 L 436.6 182.3 L 444.4 192.7 L 452.2 203.1 L 460 213.3 L 467.7 223.8 L 475.4 234.1 L 483.1 244.4 L 487.9 255.6,M 275 460 L 87.8 286.4 L 78.9 277 L 70 267.7 L 61.1 258.3 L 54.8 248.1 L 60.3 236.4 L 66.1 224.8 L 71.7 213.2 L 77.3 201.5 L 82.8 189.9 L 88.5 178.2 L 96.5 168.4 L 107.1 160.8 L 117.6 153.4 L 128.2 146 L 138.7 138.5 L 150.3 132.9 L 162.4 128.3 L 174.5 123.5 L 186.4 118.8 L 198.3 113.7 L 210.4 108.8 L 222.3 104.1 L 234.3 99.2 L 246.8 96.6 L 259.8 96.4 L 272.8 96.4 L 285.6 96.4 L 298.6 96.4 L 311.5 96.8 L 323.4 101.4 L 334.9 107.4 L 346.4 113.2 L 357.8 119.3 L 369.3 125.2 L 380.8 131.1 L 392.4 137 L 403.8 142.9 L 413.4 151.3 L 421.2 161.6 L 428.9 172 L 436.6 182.3 L 444.4 192.7 L 452.2 203.1 L 460 213.3 L 467.7 223.8 L 475.4 234.1 L 483.1 244.4 L 487.9 255.6 Z,87.8,286.4,487.9,255.6,"[{""angle"":-47.16,""dist"":283.7,""x_ft"":-208,""y_ft"":192.9},{""angle"":-46.99,""dist"":298,""x_ft"":-217.9,""y_ft"":203.3},{""angle"":-46.83,""dist"":312.3,""x_ft"":-227.8,""y_ft"":213.7},{""angle"":-46.69,""dist"":326.7,""x_ft"":-237.7,""y_ft"":224.1},{""angle"":-46.11,""dist"":339.5,""x_ft"":-244.7,""y_ft"":235.4},{""angle"":-43.84,""dist"":344.4,""x_ft"":-238.5,""y_ft"":248.4},{""angle"":-41.61,""dist"":349.5,""x_ft"":-232.1,""y_ft"":261.3},{""angle"":-39.48,""dist"":355.3,""x_ft"":-225.9,""y_ft"":274.2},{""angle"":-37.41,""dist"":361.6,""x_ft"":-219.7,""y_ft"":287.2},{""angle"":-35.43,""dist"":368.3,""x_ft"":-213.5,""y_ft"":300.1},{""angle"":-33.5,""dist"":375.5,""x_ft"":-207.2,""y_ft"":313.1},{""angle"":-31.47,""dist"":379.9,""x_ft"":-198.3,""y_ft"":324},{""angle"":-29.31,""dist"":381.2,""x_ft"":-186.6,""y_ft"":332.4},{""angle"":-27.17,""dist"":383,""x_ft"":-174.9,""y_ft"":340.7},{""angle"":-25.05,""dist"":385.1,""x_ft"":-163.1,""y_ft"":348.9},{""angle"":-22.97,""dist"":388,""x_ft"":-151.4,""y_ft"":357.2},{""angle"":-20.86,""dist"":388.9,""x_ft"":-138.5,""y_ft"":363.4},{""angle"":-18.75,""dist"":389.3,""x_ft"":-125.1,""y_ft"":368.6},{""angle"":-16.63,""dist"":390.2,""x_ft"":-111.7,""y_ft"":373.9},{""angle"":-14.55,""dist"":391.7,""x_ft"":-98.4,""y_ft"":379.1},{""angle"":-12.48,""dist"":394.1,""x_ft"":-85.2,""y_ft"":384.8},{""angle"":-10.43,""dist"":396.8,""x_ft"":-71.8,""y_ft"":390.2},{""angle"":-8.41,""dist"":399.8,""x_ft"":-58.5,""y_ft"":395.5},{""angle"":-6.43,""dist"":403.4,""x_ft"":-45.2,""y_ft"":400.9},{""angle"":-4.43,""dist"":405,""x_ft"":-31.3,""y_ft"":403.8},{""angle"":-2.4,""dist"":404.4,""x_ft"":-16.9,""y_ft"":404},{""angle"":-0.35,""dist"":404,""x_ft"":-2.5,""y_ft"":404},{""angle"":1.67,""dist"":404.2,""x_ft"":11.8,""y_ft"":404},{""angle"":3.71,""dist"":404.8,""x_ft"":26.2,""y_ft"":404},{""angle"":5.74,""dist"":405.6,""x_ft"":40.6,""y_ft"":403.6},{""angle"":7.69,""dist"":402,""x_ft"":53.8,""y_ft"":398.4},{""angle"":9.63,""dist"":397.4,""x_ft"":66.5,""y_ft"":391.8},{""angle"":11.63,""dist"":393.4,""x_ft"":79.3,""y_ft"":385.3},{""angle"":13.66,""dist"":389.6,""x_ft"":92,""y_ft"":378.6},{""angle"":15.73,""dist"":386.5,""x_ft"":104.8,""y_ft"":372},{""angle"":17.84,""dist"":383.9,""x_ft"":117.6,""y_ft"":365.4},{""angle"":19.97,""dist"":381.9,""x_ft"":130.4,""y_ft"":358.9},{""angle"":22.11,""dist"":380.3,""x_ft"":143.1,""y_ft"":352.3},{""angle"":24.15,""dist"":375.9,""x_ft"":153.8,""y_ft"":343},{""angle"":26.1,""dist"":369.1,""x_ft"":162.4,""y_ft"":331.5},{""angle"":28.12,""dist"":362.8,""x_ft"":171,""y_ft"":320},{""angle"":30.21,""dist"":357,""x_ft"":179.6,""y_ft"":308.5},{""angle"":32.36,""dist"":351.6,""x_ft"":188.2,""y_ft"":297},{""angle"":34.59,""dist"":346.8,""x_ft"":196.9,""y_ft"":285.5},{""angle"":36.86,""dist"":342.6,""x_ft"":205.5,""y_ft"":274.1},{""angle"":39.2,""dist"":338.7,""x_ft"":214.1,""y_ft"":262.5},{""angle"":41.58,""dist"":335.6,""x_ft"":222.7,""y_ft"":251},{""angle"":43.99,""dist"":332.9,""x_ft"":231.2,""y_ft"":239.5},{""angle"":46.17,""dist"":328,""x_ft"":236.6,""y_ft"":227.1}]",Truist Park,Atlanta,GA
Baltimore Orioles,orioles,M 79.1 287.7 L 72.3 278.1 L 66.7 270.1 L 62.3 263.9 L 59.3 259.6 L 57.7 257.4 L 55.7 249.7 L 54.2 237.2 L 50.1 224.1 L 45.9 211.2 L 50.1 198.5 L 56.3 186.7 L 67.6 179 L 78.9 171.4 L 90.2 163.7 L 101.5 156.1 L 112.8 148.4 L 124.1 140.8 L 135.4 133.1 L 146.7 125.5 L 158 117.8 L 168.3 115.5 L 176 126.7 L 185.3 129.5 L 196.5 121.8 L 207.8 114 L 219 106.4 L 230.3 98.6 L 241.6 90.9 L 254.1 90.9 L 267.3 94.5 L 280.5 98.1 L 293.6 101.7 L 306.8 105.3 L 320 108.9 L 333.1 112.5 L 346.3 116.1 L 359.4 119.7 L 372.6 123.3 L 385.8 126.9 L 397.9 127.7 L 401 134.6 L 407.9 146.2 L 415.6 157.5 L 423.2 168.8 L 430.8 180.1 L 442.7 183.8 L 456.4 184.1 L 461.8 195.7 L 466.2 208.5 L 470.7 221.4 L 475.2 234.4 L 479.6 247.2 L 485 259.7,M 275 460 L 79.1 287.7 L 72.3 278.1 L 66.7 270.1 L 62.3 263.9 L 59.3 259.6 L 57.7 257.4 L 55.7 249.7 L 54.2 237.2 L 50.1 224.1 L 45.9 211.2 L 50.1 198.5 L 56.3 186.7 L 67.6 179 L 78.9 171.4 L 90.2 163.7 L 101.5 156.1 L 112.8 148.4 L 124.1 140.8 L 135.4 133.1 L 146.7 125.5 L 158 117.8 L 168.3 115.5 L 176 126.7 L 185.3 129.5 L 196.5 121.8 L 207.8 114 L 219 106.4 L 230.3 98.6 L 241.6 90.9 L 254.1 90.9 L 267.3 94.5 L 280.5 98.1 L 293.6 101.7 L 306.8 105.3 L 320 108.9 L 333.1 112.5 L 346.3 116.1 L 359.4 119.7 L 372.6 123.3 L 385.8 126.9 L 397.9 127.7 L 401 134.6 L 407.9 146.2 L 415.6 157.5 L 423.2 168.8 L 430.8 180.1 L 442.7 183.8 L 456.4 184.1 L 461.8 195.7 L 466.2 208.5 L 470.7 221.4 L 475.2 234.4 L 479.6 247.2 L 485 259.7 Z,79.1,287.7,485,259.7,"[{""angle"":-48.68,""dist"":289.9,""x_ft"":-217.7,""y_ft"":191.4},{""angle"":-48.09,""dist"":302.6,""x_ft"":-225.2,""y_ft"":202.1},{""angle"":-47.64,""dist"":313.2,""x_ft"":-231.4,""y_ft"":211},{""angle"":-47.32,""dist"":321.4,""x_ft"":-236.3,""y_ft"":217.9},{""angle"":-47.11,""dist"":327.2,""x_ft"":-239.7,""y_ft"":222.7},{""angle"":-47,""dist"":330.1,""x_ft"":-241.4,""y_ft"":225.1},{""angle"":-46.2,""dist"":337.6,""x_ft"":-243.7,""y_ft"":233.7},{""angle"":-44.73,""dist"":348.5,""x_ft"":-245.3,""y_ft"":247.6},{""angle"":-43.64,""dist"":362.1,""x_ft"":-249.9,""y_ft"":262.1},{""angle"":-42.63,""dist"":375.8,""x_ft"":-254.5,""y_ft"":276.5},{""angle"":-40.69,""dist"":383.3,""x_ft"":-249.9,""y_ft"":290.6},{""angle"":-38.66,""dist"":389,""x_ft"":-243,""y_ft"":303.7},{""angle"":-36.43,""dist"":388,""x_ft"":-230.4,""y_ft"":312.2},{""angle"":-34.19,""dist"":387.7,""x_ft"":-217.9,""y_ft"":320.7},{""angle"":-31.95,""dist"":388,""x_ft"":-205.3,""y_ft"":329.2},{""angle"":-29.72,""dist"":388.9,""x_ft"":-192.8,""y_ft"":337.7},{""angle"":-27.5,""dist"":390.3,""x_ft"":-180.2,""y_ft"":346.2},{""angle"":-25.3,""dist"":392.3,""x_ft"":-167.7,""y_ft"":354.7},{""angle"":-23.12,""dist"":394.9,""x_ft"":-155.1,""y_ft"":363.2},{""angle"":-20.99,""dist"":398.1,""x_ft"":-142.6,""y_ft"":371.7},{""angle"":-18.88,""dist"":401.8,""x_ft"":-130,""y_ft"":380.2},{""angle"":-17.21,""dist"":400.8,""x_ft"":-118.6,""y_ft"":382.8},{""angle"":-16.54,""dist"":386.3,""x_ft"":-110,""y_ft"":370.3},{""angle"":-15.19,""dist"":380.5,""x_ft"":-99.7,""y_ft"":367.2},{""angle"":-13.06,""dist"":385.8,""x_ft"":-87.2,""y_ft"":375.8},{""angle"":-11,""dist"":391.6,""x_ft"":-74.7,""y_ft"":384.4},{""angle"":-9,""dist"":397.8,""x_ft"":-62.2,""y_ft"":392.9},{""angle"":-7.06,""dist"":404.6,""x_ft"":-49.7,""y_ft"":401.5},{""angle"":-5.17,""dist"":411.8,""x_ft"":-37.1,""y_ft"":410.1},{""angle"":-3.24,""dist"":410.8,""x_ft"":-23.2,""y_ft"":410.1},{""angle"":-1.21,""dist"":406.2,""x_ft"":-8.6,""y_ft"":406.1},{""angle"":0.87,""dist"":402.1,""x_ft"":6.1,""y_ft"":402.1},{""angle"":2.98,""dist"":398.6,""x_ft"":20.7,""y_ft"":398.1},{""angle"":5.12,""dist"":395.7,""x_ft"":35.3,""y_ft"":394.1},{""angle"":7.3,""dist"":393.3,""x_ft"":50,""y_ft"":390.1},{""angle"":9.5,""dist"":391.5,""x_ft"":64.6,""y_ft"":386.1},{""angle"":11.71,""dist"":390.2,""x_ft"":79.2,""y_ft"":382.1},{""angle"":13.93,""dist"":389.6,""x_ft"":93.8,""y_ft"":378.1},{""angle"":16.17,""dist"":389.5,""x_ft"":108.5,""y_ft"":374.1},{""angle"":18.4,""dist"":390,""x_ft"":123.1,""y_ft"":370.1},{""angle"":20.3,""dist"":393.7,""x_ft"":136.6,""y_ft"":369.2},{""angle"":21.16,""dist"":387.8,""x_ft"":140,""y_ft"":361.6},{""angle"":22.96,""dist"":378.7,""x_ft"":147.7,""y_ft"":348.7},{""angle"":24.93,""dist"":370.6,""x_ft"":156.2,""y_ft"":336.1},{""angle"":26.97,""dist"":363.1,""x_ft"":164.7,""y_ft"":323.6},{""angle"":29.1,""dist"":355.9,""x_ft"":173.1,""y_ft"":311},{""angle"":31.26,""dist"":359,""x_ft"":186.3,""y_ft"":306.9},{""angle"":33.32,""dist"":366.8,""x_ft"":201.5,""y_ft"":306.5},{""angle"":35.24,""dist"":359.6,""x_ft"":207.5,""y_ft"":293.7},{""angle"":37.26,""dist"":351,""x_ft"":212.5,""y_ft"":279.4},{""angle"":39.35,""dist"":342.8,""x_ft"":217.4,""y_ft"":265.1},{""angle"":41.58,""dist"":335.1,""x_ft"":222.4,""y_ft"":250.7},{""angle"":43.88,""dist"":327.9,""x_ft"":227.3,""y_ft"":236.4},{""angle"":46.34,""dist"":322.5,""x_ft"":233.3,""y_ft"":222.6}]",Oriole Park at Camden Yards,Baltimore,MD
